Date,Close
02/01/2019 16:00:00,39.48
03/01/2019 16:00:00,35.55
04/01/2019 16:00:00,37.07
07/01/2019 16:00:00,36.98
08/01/2019 16:00:00,37.69
09/01/2019 16:00:00,38.33
10/01/2019 16:00:00,38.45
11/01/2019 16:00:00,38.07
14/01/2019 16:00:00,37.5
15/01/2019 16:00:00,38.27
16/01/2019 16:00:00,38.74
17/01/2019 16:00:00,38.97
18/01/2019 16:00:00,39.21
22/01/2019 16:00:00,38.33
23/01/2019 16:00:00,38.48
24/01/2019 16:00:00,38.17
25/01/2019 16:00:00,39.44
28/01/2019 16:00:00,39.08
29/01/2019 16:00:00,38.67
30/01/2019 16:00:00,41.31
31/01/2019 16:00:00,41.61
01/02/2019 16:00:00,41.63
04/02/2019 16:00:00,42.81
05/02/2019 16:00:00,43.55
06/02/2019 16:00:00,43.56
07/02/2019 16:00:00,42.74
08/02/2019 16:00:00,42.6
11/02/2019 16:00:00,42.36
12/02/2019 16:00:00,42.72
13/02/2019 16:00:00,42.55
14/02/2019 16:00:00,42.7
15/02/2019 16:00:00,42.61
19/02/2019 16:00:00,42.73
20/02/2019 16:00:00,43.01
21/02/2019 16:00:00,42.77
22/02/2019 16:00:00,43.24
25/02/2019 16:00:00,43.56
26/02/2019 16:00:00,43.58
27/02/2019 16:00:00,43.72
28/02/2019 16:00:00,43.29
01/03/2019 16:00:00,43.74
04/03/2019 16:00:00,43.96
05/03/2019 16:00:00,43.88
06/03/2019 16:00:00,43.63
07/03/2019 16:00:00,43.13
08/03/2019 16:00:00,43.23
11/03/2019 16:00:00,44.73
12/03/2019 16:00:00,45.23
13/03/2019 16:00:00,45.43
14/03/2019 16:00:00,45.93
15/03/2019 16:00:00,46.53
18/03/2019 16:00:00,47.01
19/03/2019 16:00:00,46.63
20/03/2019 16:00:00,47.04
21/03/2019 16:00:00,48.77
22/03/2019 16:00:00,47.76
25/03/2019 16:00:00,47.19
26/03/2019 16:00:00,46.7
27/03/2019 16:00:00,47.12
28/03/2019 16:00:00,47.18
29/03/2019 16:00:00,47.49
01/04/2019 16:00:00,47.81
02/04/2019 16:00:00,48.51
03/04/2019 16:00:00,48.84
04/04/2019 16:00:00,48.92
05/04/2019 16:00:00,49.25
08/04/2019 16:00:00,50.03
09/04/2019 16:00:00,49.88
10/04/2019 16:00:00,50.16
11/04/2019 16:00:00,49.74
12/04/2019 16:00:00,49.72
15/04/2019 16:00:00,49.81
16/04/2019 16:00:00,49.81
17/04/2019 16:00:00,50.78
18/04/2019 16:00:00,50.97
22/04/2019 16:00:00,51.13
23/04/2019 16:00:00,51.87
24/04/2019 16:00:00,51.79
25/04/2019 16:00:00,51.32
26/04/2019 16:00:00,51.08
29/04/2019 16:00:00,51.15
30/04/2019 16:00:00,50.17
01/05/2019 16:00:00,52.63
02/05/2019 16:00:00,52.29
03/05/2019 16:00:00,52.94
06/05/2019 16:00:00,52.12
07/05/2019 16:00:00,50.72
08/05/2019 16:00:00,50.73
09/05/2019 16:00:00,50.18
10/05/2019 16:00:00,49.3
13/05/2019 16:00:00,46.43
14/05/2019 16:00:00,47.17
15/05/2019 16:00:00,47.73
16/05/2019 16:00:00,47.52
17/05/2019 16:00:00,47.25
20/05/2019 16:00:00,45.77
21/05/2019 16:00:00,46.65
22/05/2019 16:00:00,45.7
23/05/2019 16:00:00,44.92
24/05/2019 16:00:00,44.74
28/05/2019 16:00:00,44.56
29/05/2019 16:00:00,44.35
30/05/2019 16:00:00,44.58
31/05/2019 16:00:00,43.77
03/06/2019 16:00:00,43.33
04/06/2019 16:00:00,44.91
05/06/2019 16:00:00,45.64
06/06/2019 16:00:00,46.31
07/06/2019 16:00:00,47.54
10/06/2019 16:00:00,48.15
11/06/2019 16:00:00,48.7
12/06/2019 16:00:00,48.55
13/06/2019 16:00:00,48.54
14/06/2019 16:00:00,48.19
17/06/2019 16:00:00,48.47
18/06/2019 16:00:00,49.61
19/06/2019 16:00:00,49.47
20/06/2019 16:00:00,49.87
21/06/2019 16:00:00,49.7
24/06/2019 16:00:00,49.65
25/06/2019 16:00:00,48.89
26/06/2019 16:00:00,49.95
27/06/2019 16:00:00,49.94
