Date,Close
02/01/2019 16:00:00,62.02
03/01/2019 16:00:00,60.07
04/01/2019 16:00:00,63.54
07/01/2019 16:00:00,66.99
08/01/2019 16:00:00,67.07
09/01/2019 16:00:00,67.71
10/01/2019 16:00:00,68.99
11/01/2019 16:00:00,69.45
14/01/2019 16:00:00,66.88
15/01/2019 16:00:00,68.89
16/01/2019 16:00:00,69.21
17/01/2019 16:00:00,69.46
18/01/2019 16:00:00,60.45
22/01/2019 16:00:00,59.78
23/01/2019 16:00:00,57.52
24/01/2019 16:00:00,58.3
25/01/2019 16:00:00,59.41
28/01/2019 16:00:00,59.28
29/01/2019 16:00:00,59.49
30/01/2019 16:00:00,61.75
31/01/2019 16:00:00,61.4
01/02/2019 16:00:00,62.44
04/02/2019 16:00:00,62.58
05/02/2019 16:00:00,64.27
06/02/2019 16:00:00,63.44
07/02/2019 16:00:00,61.5
08/02/2019 16:00:00,61.16
11/02/2019 16:00:00,62.57
12/02/2019 16:00:00,62.36
13/02/2019 16:00:00,61.63
14/02/2019 16:00:00,60.75
15/02/2019 16:00:00,61.58
19/02/2019 16:00:00,61.13
20/02/2019 16:00:00,60.51
21/02/2019 16:00:00,58.25
22/02/2019 16:00:00,58.94
25/02/2019 16:00:00,59.75
26/02/2019 16:00:00,59.57
27/02/2019 16:00:00,62.95
28/02/2019 16:00:00,63.98
01/03/2019 16:00:00,58.96
04/03/2019 16:00:00,57.07
05/03/2019 16:00:00,55.31
06/03/2019 16:00:00,55.25
07/03/2019 16:00:00,55.32
08/03/2019 16:00:00,56.83
11/03/2019 16:00:00,58.18
12/03/2019 16:00:00,56.67
13/03/2019 16:00:00,57.79
14/03/2019 16:00:00,57.99
15/03/2019 16:00:00,55.09
18/03/2019 16:00:00,53.9
19/03/2019 16:00:00,53.49
20/03/2019 16:00:00,54.72
21/03/2019 16:00:00,54.8
22/03/2019 16:00:00,52.91
25/03/2019 16:00:00,52.08
26/03/2019 16:00:00,53.55
27/03/2019 16:00:00,54.97
