Date,Close
02/01/2019 16:00:00,135.68
03/01/2019 16:00:00,131.74
04/01/2019 16:00:00,137.95
07/01/2019 16:00:00,138.05
08/01/2019 16:00:00,142.53
09/01/2019 16:00:00,144.23
10/01/2019 16:00:00,144.2
11/01/2019 16:00:00,143.8
14/01/2019 16:00:00,145.39
15/01/2019 16:00:00,148.95
16/01/2019 16:00:00,147.54
17/01/2019 16:00:00,148.3
18/01/2019 16:00:00,150.04
22/01/2019 16:00:00,147.57
23/01/2019 16:00:00,144.3
24/01/2019 16:00:00,145.83
25/01/2019 16:00:00,149.01
28/01/2019 16:00:00,147.47
29/01/2019 16:00:00,144.19
30/01/2019 16:00:00,150.42
31/01/2019 16:00:00,166.69
01/02/2019 16:00:00,165.71
04/02/2019 16:00:00,169.25
05/02/2019 16:00:00,171.16
06/02/2019 16:00:00,170.49
07/02/2019 16:00:00,166.38
08/02/2019 16:00:00,167.33
11/02/2019 16:00:00,165.79
12/02/2019 16:00:00,165.04
13/02/2019 16:00:00,164.07
14/02/2019 16:00:00,163.95
15/02/2019 16:00:00,162.5
19/02/2019 16:00:00,162.29
20/02/2019 16:00:00,162.56
21/02/2019 16:00:00,160.04
22/02/2019 16:00:00,161.89
25/02/2019 16:00:00,164.62
26/02/2019 16:00:00,164.13
27/02/2019 16:00:00,162.81
28/02/2019 16:00:00,161.45
01/03/2019 16:00:00,162.28
04/03/2019 16:00:00,167.37
05/03/2019 16:00:00,171.26
06/03/2019 16:00:00,172.51
07/03/2019 16:00:00,169.13
08/03/2019 16:00:00,169.6
11/03/2019 16:00:00,172.07
12/03/2019 16:00:00,171.92
13/03/2019 16:00:00,173.37
14/03/2019 16:00:00,170.17
15/03/2019 16:00:00,165.98
18/03/2019 16:00:00,160.47
19/03/2019 16:00:00,161.57
20/03/2019 16:00:00,165.44
21/03/2019 16:00:00,166.08
22/03/2019 16:00:00,164.34
25/03/2019 16:00:00,166.29
26/03/2019 16:00:00,167.68
27/03/2019 16:00:00,165.87
28/03/2019 16:00:00,165.55
29/03/2019 16:00:00,166.69
